frame,id,score,x,y,x2,y2
0,sports ball,0.9344095,56,329,103,377
0,sports ball,0.9275973,26,481,73,528
1,sports ball,0.94862247,26,480,73,526
1,sports ball,0.8328934,57,330,105,378
2,sports ball,0.9466268,26,479,73,525
2,sports ball,0.79971415,57,331,105,378
3,sports ball,0.9512674,25,476,71,524
3,sports ball,0.9058112,58,333,104,379
4,sports ball,0.97545016,28,475,73,521
4,sports ball,0.9664354,58,333,104,380
5,sports ball,0.98874,27,473,73,520
5,sports ball,0.9787435,57,335,104,381
6,sports ball,0.9296833,26,471,73,518
7,sports ball,0.8248939,26,471,75,518
8,sports ball,0.86304903,28,468,76,516
9,sports ball,0.8851459,28,467,74,515
10,sports ball,0.8290739,28,465,76,512
11,sports ball,0.9271851,28,463,77,511
12,sports ball,0.89791363,29,462,78,510
12,sports ball,0.7434573,59,340,109,388
13,sports ball,0.88098454,29,461,79,508
13,sports ball,0.81723523,58,341,107,389
14,sports ball,0.880258,29,460,77,506
14,sports ball,0.84436405,59,342,108,390
15,sports ball,0.93174404,60,343,109,390
15,sports ball,0.81720614,30,457,78,503
16,sports ball,0.93246377,60,344,109,391
16,sports ball,0.82690513,30,456,80,504
17,sports ball,0.94335246,30,455,80,501
17,sports ball,0.88949955,60,345,108,393
18,sports ball,0.9367588,30,453,79,499
19,sports ball,0.9364465,31,451,80,500
19,sports ball,0.824861,60,347,108,395
20,sports ball,0.9382773,30,450,78,497
20,sports ball,0.90473664,61,348,110,394
21,sports ball,0.9594924,31,448,80,496
21,sports ball,0.90351903,61,348,110,394
22,sports ball,0.9904338,32,446,80,493
22,sports ball,0.81495136,60,350,109,397
23,sports ball,0.99103886,33,445,80,492
23,sports ball,0.90282965,60,350,110,398
24,sports ball,0.97440886,34,443,81,490
24,sports ball,0.8622933,61,351,110,399
25,sports ball,0.9176343,62,353,111,400
25,sports ball,0.8128586,31,441,80,488
26,sports ball,0.941404,62,353,110,400
26,sports ball,0.8512014,33,440,81,487
27,sports ball,0.98263204,62,355,110,401
27,sports ball,0.96631104,35,438,83,486
28,sports ball,0.98421127,62,356,110,402
28,sports ball,0.95735973,33,437,81,484
29,sports ball,0.98632115,35,436,82,483
29,sports ball,0.95216566,61,356,110,403
30,sports ball,0.9915168,36,435,82,481
30,sports ball,0.9592291,61,356,110,404
31,sports ball,0.9924452,36,433,82,479
31,sports ball,0.95671093,63,358,110,405
32,sports ball,0.98105204,36,431,83,478
32,sports ball,0.9492353,63,358,110,404
33,sports ball,0.9711222,36,429,83,478
33,sports ball,0.84608227,65,360,111,405
34,sports ball,0.9047972,37,427,85,475
34,sports ball,0.80638534,62,359,110,407
35,sports ball,0.9606734,38,426,85,474
35,sports ball,0.86451006,64,361,112,409
36,sports ball,0.99517447,38,423,85,471
36,sports ball,0.9621704,64,362,112,410
37,sports ball,0.97714,64,363,111,410
37,sports ball,0.8847492,38,423,87,471
38,sports ball,0.9843418,65,365,113,411
38,sports ball,0.7461734,38,421,86,469
39,sports ball,0.96585333,65,365,113,413
39,sports ball,0.8087029,37,418,85,467
40,sports ball,0.71468914,65,366,113,414
44,sports ball,0.70529693,66,369,114,416
45,sports ball,0.8482518,66,370,113,416
45,sports ball,0.7747148,41,408,90,456
46,sports ball,0.94924176,66,371,113,418
46,sports ball,0.89862245,41,408,90,455
47,sports ball,0.9748828,67,373,114,417
47,sports ball,0.81557304,41,406,90,453
48,sports ball,0.9116776,68,373,114,420
48,sports ball,0.7027658,42,403,90,452
49,sports ball,0.7491749,68,374,114,423
54,kite,0.8904195,43,380,115,443
55,kite,0.8173529,43,379,115,440
56,kite,0.8820632,43,382,116,440
57,kite,0.9757361,43,381,116,438
58,kite,0.9908342,44,383,116,435
59,kite,0.97937804,43,383,118,434
60,kite,0.98892397,44,384,118,433
61,kite,0.99368566,46,384,117,433
62,kite,0.99719965,46,383,116,433
63,kite,0.9937996,46,382,118,435
64,kite,0.97953624,47,381,119,435
