frame,id,score,x,y,x2,y2
0,sports ball,0.90145534,75,74,121,123
1,sports ball,0.863759,80,81,130,129
2,sports ball,0.8474064,86,85,133,136
3,sports ball,0.83059835,90,91,140,141
4,sports ball,0.8222398,96,95,143,148
6,kite,0.7778426,104,106,158,163
9,kite,0.9101964,120,123,175,182
12,kite,0.7092137,138,139,192,201
18,umbrella,0.8323606,168,171,225,240
20,kite,0.82795,178,181,239,255
29,sports ball,0.72478044,241,262,290,311
30,sports ball,0.8927873,248,272,294,319
31,sports ball,0.7796443,236,241,283,285
33,sports ball,0.93354076,245,252,293,298
33,sports ball,0.7188151,263,290,311,337
34,sports ball,0.90778345,250,257,299,303
34,sports ball,0.7090454,270,296,318,343
35,sports ball,0.9977107,256,263,304,310
35,sports ball,0.9940089,276,303,323,350
36,sports ball,0.88900733,261,268,310,315
36,sports ball,0.87579983,281,310,331,358
37,sports ball,0.9952336,268,274,315,321
37,sports ball,0.9636879,286,313,335,363
38,sports ball,0.94440794,271,279,321,326
38,sports ball,0.9266517,294,322,340,369
39,sports ball,0.9955036,278,284,325,330
39,sports ball,0.8686538,298,327,346,376
40,sports ball,0.91645765,303,334,351,383
40,sports ball,0.89935994,281,290,331,338
41,sports ball,0.9852615,287,295,335,343
41,sports ball,0.7113709,310,341,358,389
42,sports ball,0.92635125,316,346,360,395
42,sports ball,0.8203592,291,301,341,349
43,sports ball,0.9217296,298,305,345,351
45,sports ball,0.9098755,308,316,355,364
45,sports ball,0.7837995,333,370,360,414
46,sports ball,0.9202058,336,375,360,421
46,sports ball,0.8953321,312,321,360,370
47,sports ball,0.78544754,318,326,360,376
51,sports ball,0.90366894,338,350,360,397
52,sports ball,0.9794263,305,413,351,461
53,sports ball,0.8321252,300,419,349,466
53,sports ball,0.74411654,328,360,360,406
54,sports ball,0.98240465,294,425,342,475
54,sports ball,0.81161463,323,363,360,413
55,sports ball,0.87228864,290,432,339,480
55,sports ball,0.8556156,316,370,360,418
56,sports ball,0.9733426,283,439,331,486
56,sports ball,0.95975906,311,375,360,423
57,sports ball,0.90980995,279,445,327,493
57,sports ball,0.88598865,308,381,355,428
58,sports ball,0.9718865,303,386,351,434
58,sports ball,0.95376724,275,453,322,499
59,sports ball,0.8466123,298,391,346,439
60,sports ball,0.994531,264,465,312,511
60,sports ball,0.93463856,293,396,340,444
61,sports ball,0.8318282,290,403,336,450
61,sports ball,0.77800363,259,471,309,520
62,sports ball,0.952134,284,408,331,455
62,sports ball,0.93757474,253,478,302,526
63,sports ball,0.9935354,249,484,295,531
64,sports ball,0.9239553,275,418,321,465
64,sports ball,0.90499943,242,491,291,538
65,sports ball,0.9461965,271,424,321,471
65,sports ball,0.88691324,238,498,286,544
66,sports ball,0.9897171,233,503,281,550
66,sports ball,0.9147205,267,430,314,477
67,sports ball,0.88887167,228,511,276,558
67,sports ball,0.80015653,259,434,308,481
68,sports ball,0.96101975,223,516,270,563
68,sports ball,0.8867113,258,440,305,488
69,sports ball,0.9950559,218,524,265,570
69,sports ball,0.96332645,253,445,301,493
70,sports ball,0.9646462,211,530,260,577
70,sports ball,0.77756876,248,451,295,498
71,sports ball,0.9588112,208,536,255,584
71,sports ball,0.9507041,243,456,291,503
72,sports ball,0.971429,202,543,251,590
72,sports ball,0.90440345,239,461,286,508
73,sports ball,0.99094594,198,550,245,596
73,sports ball,0.9715395,233,466,281,513
74,sports ball,0.98762053,192,556,241,603
74,sports ball,0.759935,229,473,278,521
75,sports ball,0.9963175,188,563,235,609
75,sports ball,0.97094965,223,477,271,524
76,sports ball,0.982781,181,568,230,615
76,sports ball,0.80178726,220,482,269,530
77,sports ball,0.9920954,176,575,223,621
77,sports ball,0.964183,214,488,261,536
78,sports ball,0.9142356,171,583,220,630
78,sports ball,0.86605734,210,493,259,541
79,sports ball,0.97459656,167,587,215,633
79,sports ball,0.9100347,208,499,254,545
80,sports ball,0.96652347,162,595,208,640
80,sports ball,0.9600317,201,504,250,551
81,sports ball,0.9726169,198,510,245,556
81,sports ball,0.9465061,158,601,203,640
82,sports ball,0.9600075,192,515,241,562
82,sports ball,0.77544504,151,606,198,640
83,sports ball,0.9580213,188,521,235,567
83,sports ball,0.9433878,146,614,191,640
84,sports ball,0.99480903,183,525,231,573
85,sports ball,0.9384488,178,532,226,578
86,sports ball,0.9579211,173,536,223,585
86,sports ball,0.8152857,130,605,178,640
87,sports ball,0.91655487,123,598,172,640
87,sports ball,0.7659372,168,541,216,590
88,sports ball,0.84509397,162,547,211,595
93,sports ball,0.9585562,91,563,140,611
95,sports ball,0.9606656,131,584,180,631
95,sports ball,0.9251703,81,552,130,600
96,sports ball,0.802435,78,546,130,594
97,sports ball,0.9802849,124,595,168,640
97,sports ball,0.95657176,73,541,122,588
98,sports ball,0.9632615,68,535,116,581
98,sports ball,0.7200919,118,600,165,640
99,sports ball,0.98022765,113,605,161,640
99,sports ball,0.9563742,61,528,111,576
100,sports ball,0.97071767,58,523,105,569
101,sports ball,0.9652906,51,518,101,565
102,sports ball,0.8837728,48,512,95,558
103,sports ball,0.9952962,42,505,91,553
103,sports ball,0.88564706,92,605,142,640
104,sports ball,0.8195093,89,601,137,640
104,sports ball,0.75244445,38,500,85,547
105,sports ball,0.97255695,31,495,81,541
105,sports ball,0.9652079,85,596,132,640
106,sports ball,0.84327245,28,488,76,536
106,sports ball,0.7724478,80,591,130,638
107,sports ball,0.99212015,26,483,73,529
107,sports ball,0.98534375,76,587,123,633
108,sports ball,0.9789259,71,583,120,631
109,sports ball,0.946151,67,577,115,625
109,sports ball,0.88787514,34,471,82,518
110,sports ball,0.9729566,62,573,111,620
110,sports ball,0.9325019,38,465,85,511
111,sports ball,0.9606779,57,567,105,615
111,sports ball,0.9269839,42,460,90,506
112,sports ball,0.99412906,51,564,100,610
112,sports ball,0.8329395,48,454,97,501
113,sports ball,0.9542906,51,447,100,496
113,sports ball,0.7594976,48,558,96,605
114,sports ball,0.9733889,43,554,91,600
114,sports ball,0.8136963,58,441,105,488
115,sports ball,0.92531145,61,436,110,483
116,sports ball,0.9956285,35,544,81,590
116,sports ball,0.90977925,66,430,113,477
117,sports ball,0.9471196,71,425,120,471
117,sports ball,0.85809195,28,538,77,585
118,sports ball,0.98809344,25,535,71,582
118,sports ball,0.8770598,75,418,121,465
119,sports ball,0.964389,26,530,73,576
119,sports ball,0.7211236,80,413,128,460
