frame,id,score,x,y,x2,y2
0,sports ball,0.97757465,35,343,82,390
1,sports ball,0.975869,35,343,82,390
2,sports ball,0.9874027,36,343,83,390
2,sports ball,0.9102705,249,255,296,302
3,sports ball,0.98065805,36,343,83,389
3,sports ball,0.9550253,248,255,295,302
4,sports ball,0.97481835,36,342,83,389
4,sports ball,0.95826393,246,254,292,301
5,sports ball,0.9343487,245,255,293,301
5,sports ball,0.8103019,35,340,81,388
6,sports ball,0.9672917,243,254,291,301
6,sports ball,0.8558125,37,341,84,388
7,sports ball,0.9732463,243,255,291,301
7,sports ball,0.87366015,37,341,84,388
8,sports ball,0.9084959,242,255,291,301
8,sports ball,0.88487405,37,340,83,387
9,sports ball,0.775528,241,255,289,301
10,sports ball,0.7103702,240,254,288,301
11,sports ball,0.8247861,238,253,286,301
12,sports ball,0.97652143,238,254,285,301
13,sports ball,0.9743413,238,254,283,300
14,sports ball,0.9785357,236,253,282,300
15,sports ball,0.97471386,234,253,281,300
16,sports ball,0.9885295,233,253,281,300
17,sports ball,0.97107536,233,254,280,300
18,sports ball,0.8924291,232,253,281,300
19,sports ball,0.8255969,231,253,279,300
20,sports ball,0.74672097,230,252,279,300
21,sports ball,0.81346995,40,335,88,382
21,sports ball,0.7974984,230,253,278,300
22,sports ball,0.92775995,228,252,275,300
22,sports ball,0.7618686,40,335,88,382
23,sports ball,0.9739734,228,253,273,300
23,sports ball,0.85481447,42,335,89,380
24,sports ball,0.9701793,227,253,274,300
24,sports ball,0.8515559,42,335,89,380
25,sports ball,0.9683114,224,252,271,300
25,sports ball,0.8742529,42,335,89,380
26,sports ball,0.9278543,41,333,90,381
26,sports ball,0.86811626,223,252,271,300
27,sports ball,0.9376299,41,333,90,381
27,sports ball,0.90514904,223,252,271,298
28,sports ball,0.9191025,42,333,91,379
28,sports ball,0.79245555,221,252,271,299
29,sports ball,0.9191025,42,333,91,379
29,sports ball,0.79245555,221,252,271,299
30,sports ball,0.84661454,43,332,90,380
30,sports ball,0.72118217,220,252,269,299
32,sports ball,0.73716575,219,251,268,299
33,sports ball,0.9038945,218,251,266,300
33,sports ball,0.7310921,42,330,90,379
34,sports ball,0.9076957,218,250,265,298
34,sports ball,0.8028651,42,330,90,377
35,sports ball,0.8423793,217,251,264,298
35,sports ball,0.78232646,42,329,90,377
36,sports ball,0.90166616,46,330,93,376
36,sports ball,0.7933804,214,250,263,298
37,sports ball,0.9027541,46,330,93,376
37,sports ball,0.8305288,211,250,260,298
38,sports ball,0.90367985,46,330,93,376
38,sports ball,0.8930964,212,250,261,298
39,sports ball,0.9103465,46,328,93,375
39,sports ball,0.8769453,211,250,261,298
40,sports ball,0.81950337,45,326,92,375
40,sports ball,0.8024352,211,250,260,299
41,sports ball,0.9090462,47,327,94,375
41,sports ball,0.7366908,210,249,259,298
42,sports ball,0.9218041,47,327,94,375
42,sports ball,0.710033,208,250,256,298
43,sports ball,0.841274,48,326,95,375
43,sports ball,0.7465529,208,250,255,297
44,sports ball,0.89663136,208,250,254,296
44,sports ball,0.8701018,48,326,95,374
45,sports ball,0.8817556,207,250,253,296
45,sports ball,0.8672618,48,326,95,374
46,sports ball,0.9545147,48,325,95,373
46,sports ball,0.8312305,203,248,251,296
47,sports ball,0.80177224,201,249,250,296
47,sports ball,0.72264546,48,325,96,371
48,sports ball,0.8143185,202,250,251,298
49,sports ball,0.8793279,201,249,250,296
49,sports ball,0.83283204,49,323,96,370
50,sports ball,0.84960544,200,248,249,295
50,sports ball,0.84853935,49,324,98,371
51,sports ball,0.84966445,49,324,98,371
51,sports ball,0.7187556,199,248,247,296
52,sports ball,0.7803332,49,323,98,370
52,sports ball,0.776538,198,248,246,296
53,sports ball,0.8374837,198,248,246,296
53,sports ball,0.7779015,49,323,98,370
54,sports ball,0.9337246,197,248,244,296
54,sports ball,0.82087046,51,322,99,368
55,sports ball,0.9502253,196,249,244,296
55,sports ball,0.83280367,51,322,99,368
56,sports ball,0.912696,193,248,240,296
56,sports ball,0.81814855,51,322,99,368
57,sports ball,0.96620786,192,247,240,294
57,sports ball,0.85475844,51,321,101,369
58,sports ball,0.9251693,192,247,241,296
58,sports ball,0.843217,51,321,101,369
59,sports ball,0.9112372,51,320,101,368
59,sports ball,0.8797472,191,247,241,296
60,sports ball,0.8619797,189,247,238,294
60,sports ball,0.8508479,52,320,101,368
61,sports ball,0.8619797,189,247,238,294
61,sports ball,0.8508479,52,320,101,368
62,sports ball,0.8067686,188,246,236,295
62,sports ball,0.782029,52,318,101,366
63,sports ball,0.76520014,52,318,101,366
64,sports ball,0.90633,53,319,100,365
64,sports ball,0.775729,188,246,236,295
65,sports ball,0.93103564,188,246,235,294
65,sports ball,0.8819593,53,318,101,365
66,sports ball,0.9560526,187,246,234,294
66,sports ball,0.8910914,53,318,101,365
67,sports ball,0.94314957,185,246,233,293
67,sports ball,0.86951673,54,316,101,363
68,sports ball,0.9779529,182,246,230,293
68,sports ball,0.8628475,54,316,101,363
69,sports ball,0.96751595,180,246,230,293
69,sports ball,0.86912525,54,316,101,363
70,sports ball,0.88487715,181,246,230,292
70,sports ball,0.8683656,54,315,101,363
71,sports ball,0.88769346,55,315,101,363
72,sports ball,0.96903896,56,315,104,361
73,sports ball,0.97412384,56,315,103,361
74,sports ball,0.9534407,57,315,104,363
74,sports ball,0.8764451,178,245,226,293
75,sports ball,0.9778221,58,314,103,360
75,sports ball,0.9443519,178,245,225,293
76,sports ball,0.9782809,57,315,104,361
76,sports ball,0.95561105,176,244,221,293
77,sports ball,0.97980464,58,314,103,360
77,sports ball,0.95127106,175,245,222,292
78,sports ball,0.9779925,172,245,220,292
78,sports ball,0.9491579,58,313,104,360
79,sports ball,0.96769476,173,245,220,292
79,sports ball,0.96036,58,313,104,360
80,sports ball,0.9533174,172,245,220,291
80,sports ball,0.92405295,58,313,104,359
81,sports ball,0.94653577,171,245,219,292
81,sports ball,0.72784334,58,312,107,360
82,sports ball,0.83943564,170,245,218,292
82,sports ball,0.741118,58,312,107,360
83,sports ball,0.7459758,169,244,216,291
84,sports ball,0.9546119,168,245,215,292
85,sports ball,0.97552687,168,244,215,291
86,sports ball,0.97900647,166,245,213,291
87,sports ball,0.97360975,165,245,213,291
88,sports ball,0.9924125,163,243,210,290
88,sports ball,0.847111,60,309,108,356
89,sports ball,0.9851542,162,243,211,291
89,sports ball,0.86523765,60,309,108,356
90,sports ball,0.9700327,162,243,210,290
90,sports ball,0.74578124,60,307,110,356
91,sports ball,0.92985606,161,243,210,290
91,sports ball,0.89074653,60,307,110,356
92,sports ball,0.91511965,61,308,110,354
92,sports ball,0.89112633,160,243,209,291
93,sports ball,0.8918917,160,243,209,291
93,sports ball,0.863515,61,306,109,352
94,sports ball,0.9164335,158,243,206,291
94,sports ball,0.790518,60,306,110,355
95,sports ball,0.9850235,158,243,205,291
95,sports ball,0.95578724,61,306,111,355
96,sports ball,0.9860794,158,243,205,289
96,sports ball,0.9670981,62,305,110,353
97,sports ball,0.98644596,156,242,203,289
97,sports ball,0.9807545,62,305,111,353
98,sports ball,0.9888248,61,304,110,351
98,sports ball,0.9738061,155,243,203,290
99,sports ball,0.9892147,61,304,110,351
99,sports ball,0.95549244,155,243,201,288
100,sports ball,0.98799163,61,304,110,351
100,sports ball,0.95842654,151,241,200,290
101,sports ball,0.9942555,62,303,110,350
101,sports ball,0.91372293,150,241,199,290
