frame,id,score,x,y,x2,y2
1,sports ball,1,128.42358,25,178.42358,75
1,sports ball,1,48.781548,208.0618,98.78155,258.0618
2,sports ball,1,133.42358,27.7,183.42358,77.7
2,sports ball,1,53.781548,205.0618,103.78155,255.0618
3,sports ball,1,138.42358,30.400002,188.42358,80.4
3,sports ball,1,58.781548,202.0618,108.78155,252.0618
4,sports ball,1,143.42358,33.100002,193.42358,83.100006
4,sports ball,1,63.781548,199.0618,113.78155,249.0618
5,sports ball,1,148.42358,35.800003,198.42358,85.8
5,sports ball,1,68.78155,196.0618,118.78155,246.0618
6,sports ball,1,153.42358,38.500004,203.42358,88.5
6,sports ball,1,73.78155,193.0618,123.78155,243.0618
7,sports ball,1,158.42358,41.200005,208.42358,91.200005
7,sports ball,1,78.78155,190.0618,128.78156,240.0618
8,sports ball,1,163.42358,43.900005,213.42358,93.90001
8,sports ball,1,83.78155,187.0618,133.78156,237.0618
9,sports ball,1,168.42358,46.600006,218.42358,96.600006
9,sports ball,1,88.78155,184.0618,138.78156,234.0618
10,sports ball,1,173.42358,49.300007,223.42358,99.3
10,sports ball,1,93.78155,181.0618,143.78156,231.0618
11,sports ball,1,178.42358,52.000008,228.42358,102.00001
11,sports ball,1,98.78155,178.0618,148.78156,228.0618
12,sports ball,1,183.42358,54.70001,233.42358,104.70001
12,sports ball,1,103.78155,175.0618,153.78156,225.0618
13,sports ball,1,188.42358,57.40001,238.42358,107.40001
13,sports ball,1,108.78155,172.0618,158.78156,222.0618
14,sports ball,1,193.42358,60.10001,243.42358,110.100006
14,sports ball,1,113.78155,169.0618,163.78156,219.0618
15,sports ball,1,198.42358,62.80001,248.42358,112.80001
15,sports ball,1,118.78155,166.0618,168.78156,216.0618
16,sports ball,1,203.42358,65.50001,253.42358,115.50001
16,sports ball,1,123.78155,163.0618,173.78156,213.0618
17,sports ball,1,208.42358,68.200005,258.42358,118.200005
17,sports ball,1,128.78156,160.0618,178.78156,210.0618
18,sports ball,1,213.42358,70.9,263.42358,120.9
18,sports ball,1,133.78156,157.0618,183.78156,207.0618
19,sports ball,1,218.42358,73.6,268.42358,123.6
19,sports ball,1,138.78156,154.0618,188.78156,204.0618
20,sports ball,1,223.42358,76.299995,273.42358,126.299995
20,sports ball,1,143.78156,151.0618,193.78156,201.0618
21,sports ball,1,228.42358,78.99999,278.42358,129
21,sports ball,1,148.78156,148.0618,198.78156,198.0618
22,sports ball,1,233.42358,81.69999,283.42358,131.69998
22,sports ball,1,153.78156,145.0618,203.78156,195.0618
23,sports ball,1,238.42358,84.39999,288.42358,134.4
23,sports ball,1,158.78156,142.0618,208.78156,192.0618
24,sports ball,1,243.42358,87.09998,293.42358,137.09998
24,sports ball,1,163.78156,139.0618,213.78156,189.0618
25,sports ball,1,248.42358,89.79998,298.42358,139.79999
25,sports ball,1,168.78156,136.0618,218.78156,186.0618
26,sports ball,1,253.42358,92.49998,303.42358,142.49997
26,sports ball,1,173.78156,133.0618,223.78156,183.0618
27,sports ball,1,258.42358,95.199974,308.42358,145.19998
27,sports ball,1,178.78156,130.0618,228.78156,180.0618
28,sports ball,1,263.42358,97.89997,313.42358,147.89996
28,sports ball,1,183.78156,127.0618,233.78156,177.0618
29,sports ball,1,268.42358,100.59997,318.42358,150.59998
29,sports ball,1,188.78156,124.0618,238.78156,174.0618
30,sports ball,1,273.42358,103.299965,323.42358,153.29996
30,sports ball,1,193.78156,121.0618,243.78156,171.0618
31,sports ball,1,278.42358,105.99996,328.42358,155.99997
31,sports ball,1,198.78156,118.0618,248.78156,168.0618
32,sports ball,1,283.42358,108.69996,333.42358,158.69995
32,sports ball,1,203.78156,115.0618,253.78156,165.0618
33,sports ball,1,288.42358,111.399956,338.42358,161.39996
33,sports ball,1,208.78156,112.0618,258.78156,162.0618
34,sports ball,1,293.42358,114.09995,343.42358,164.09995
34,sports ball,1,213.78156,109.0618,263.78156,159.0618
35,sports ball,1,298.42358,116.79995,348.42358,166.79996
35,sports ball,1,218.78156,106.0618,268.78156,156.0618
36,sports ball,1,303.42358,119.49995,353.42358,169.49994
36,sports ball,1,223.78156,103.0618,273.78156,153.0618
37,sports ball,1,308.42358,122.19994,358.42358,172.19995
37,sports ball,1,228.78156,100.0618,278.78156,150.0618
38,sports ball,1,313.42358,124.89994,363.42358,174.89993
38,sports ball,1,233.78156,97.0618,283.78156,147.0618
39,sports ball,1,318.42358,127.59994,368.42358,177.59995
39,sports ball,1,238.78156,94.0618,288.78156,144.0618
40,sports ball,1,323.42358,130.29994,373.42358,180.29994
40,sports ball,1,243.78156,91.0618,293.78156,141.0618
41,sports ball,1,328.42358,132.99994,378.42358,182.99994
41,sports ball,1,248.78156,88.0618,298.78156,138.0618
42,sports ball,1,333.42358,135.69994,383.42358,185.69994
42,sports ball,1,253.78156,85.0618,303.78156,135.0618
43,sports ball,1,338.42358,138.39993,388.42358,188.39993
43,sports ball,1,258.78156,82.0618,308.78156,132.0618
44,sports ball,1,343.42358,141.09993,393.42358,191.09993
44,sports ball,1,263.78156,79.0618,313.78156,129.0618
45,sports ball,1,348.42358,143.79993,398.42358,193.79993
45,sports ball,1,268.78156,76.0618,318.78156,126.0618
46,sports ball,1,353.42358,146.49992,403.42358,196.49992
46,sports ball,1,273.78156,73.0618,323.78156,123.0618
47,sports ball,1,358.42358,149.19992,408.42358,199.19992
47,sports ball,1,278.78156,70.0618,328.78156,120.0618
48,sports ball,1,363.42358,151.89992,413.42358,201.89992
48,sports ball,1,283.78156,67.0618,333.78156,117.0618
49,sports ball,1,368.42358,154.59991,418.42358,204.59991
49,sports ball,1,288.78156,64.0618,338.78156,114.0618
50,sports ball,1,373.42358,157.29991,423.42358,207.29991
50,sports ball,1,293.78156,61.0618,343.78156,111.0618
51,sports ball,1,378.42358,159.99991,428.42358,209.99991
51,sports ball,1,298.78156,58.0618,348.78156,108.0618
52,sports ball,1,383.42358,162.6999,433.42358,212.6999
52,sports ball,1,303.78156,55.0618,353.78156,105.0618
53,sports ball,1,388.42358,165.3999,438.42358,215.3999
53,sports ball,1,308.78156,52.0618,358.78156,102.0618
54,sports ball,1,393.42358,168.0999,443.42358,218.0999
54,sports ball,1,313.78156,49.0618,363.78156,99.0618
55,sports ball,1,398.42358,170.7999,448.42358,220.7999
55,sports ball,1,318.78156,46.0618,368.78156,96.0618
56,sports ball,1,403.42358,173.4999,453.42358,223.4999
56,sports ball,1,323.78156,43.0618,373.78156,93.0618
57,sports ball,1,408.42358,176.19989,458.42358,226.19989
57,sports ball,1,328.78156,40.0618,378.78156,90.0618
58,sports ball,1,413.42358,178.89989,463.42358,228.89989
58,sports ball,1,333.78156,37.0618,383.78156,87.0618
59,sports ball,1,418.42358,181.59988,468.42358,231.59988
59,sports ball,1,338.78156,34.0618,388.78156,84.0618
60,sports ball,1,423.42358,184.29988,473.42358,234.29988
60,sports ball,1,343.78156,31.061798,393.78156,81.0618
61,sports ball,1,428.42358,186.99988,478.42358,236.99988
61,sports ball,1,348.78156,28.061798,398.78156,78.0618
62,sports ball,1,433.42358,189.69987,483.42358,239.69987
62,sports ball,1,353.78156,25.061798,403.78156,75.0618
