frame,id,score,x,y,x2,y2
1,sports ball,1,503.26068,149.66588,553.260685,199.665885
2,sports ball,1,234.23402,140.90172,284.234025,190.901725
4,sports ball,1,500.33786,152.9989,550.337865,202.99895
4,sports ball,1,273.32907,49.58905,323.329075,99.589055
5,sports ball,1,499.3636,154.10991,549.36365,204.109915
6,sports ball,1,237.86824,140.48772,287.868245,190.487725
7,sports ball,1,497.41504,156.33192,547.415045,206.331925
7,sports ball,1,238.7768,140.38422,288.77685,190.384225
8,sports ball,1,496.44077,157.44293,546.440775,207.442935
9,sports ball,1,495.4665,158.55394,545.46655,208.553945
9,sports ball,1,269.00305,52.295273,319.003055,102.2952735
10,sports ball,1,268.13785,52.836517,318.137855,102.8365175
11,sports ball,1,493.51794,160.77596,543.517945,210.775965
11,sports ball,1,242.41101,139.97021,292.411015,189.970215
13,sports ball,1,244.22812,139.76321,294.228125,189.763215
13,sports ball,1,491.5694,162.99797,541.56945,212.997975
14,sports ball,1,245.13667,139.65971,295.136675,189.659715
15,sports ball,1,246.04523,139.55621,296.045235,189.556215
15,sports ball,1,263.81183,55.54274,313.811835,105.542745
17,sports ball,1,487.6723,167.442,537.67235,217.4425
17,sports ball,1,262.08142,56.62523,312.081425,106.625235
18,sports ball,1,486.69803,168.55301,536.698035,218.553015
19,sports ball,1,485.72375,169.66402,535.723755,219.664025
21,sports ball,1,251.49655,138.93521,301.496555,188.935215
21,sports ball,1,258.6206,58.790207,308.62065,108.7902075
21,sports ball,1,483.7752,171.88603,533.77525,221.886035
22,sports ball,1,482.80093,172.99704,532.800935,222.997045
22,sports ball,1,252.4051,138.83171,302.40515,188.831715
22,sports ball,1,257.7554,59.33145,307.75545,109.331455
23,sports ball,1,481.82666,174.10805,531.826665,224.108055
23,sports ball,1,253.31366,138.72821,303.313665,188.728215
24,sports ball,1,256.025,60.41394,306.0255,110.413945
25,sports ball,1,255.13077,138.52121,305.130775,188.521215
25,sports ball,1,255.15979,60.955185,305.159795,110.9551855
26,sports ball,1,256.03934,138.41771,306.039345,188.417715
27,sports ball,1,253.42938,62.037674,303.429385,112.0376745
29,sports ball,1,258.76505,138.10721,308.765055,188.107215
30,sports ball,1,250.83377,63.661407,300.833775,113.6614075
30,sports ball,1,259.6736,138.00371,309.67365,188.003715
31,sports ball,1,260.58218,137.9002,310.582185,187.90025
32,sports ball,1,249.10336,64.7439,299.103365,114.74395
32,sports ball,1,473.0582,184.10712,523.05825,234.107125
35,sports ball,1,264.21646,137.4862,314.216465,187.48625
35,sports ball,1,470.13538,187.44014,520.135385,237.440145
35,sports ball,1,246.50775,66.36763,296.507755,116.367635
36,sports ball,1,265.12503,137.3827,315.125035,187.38275
36,sports ball,1,245.64255,66.908875,295.642555,116.9088755
37,sports ball,1,468.18683,189.66216,518.186835,239.662165
37,sports ball,1,244.77734,67.45012,294.777345,117.450125
38,sports ball,1,467.21255,190.77316,517.212555,240.773165
40,sports ball,1,465.264,192.99518,515.2645,242.995185
40,sports ball,1,268.7593,136.9687,318.75935,186.96875
40,sports ball,1,242.18173,69.07385,292.181735,119.073855
41,sports ball,1,269.66788,136.8652,319.667885,186.86525
41,sports ball,1,464.28973,194.10619,514.289735,244.106195
42,sports ball,1,240.45132,70.15634,290.451325,120.156345
42,sports ball,1,463.31546,195.2172,513.315465,245.21725
43,sports ball,1,462.3412,196.3282,512.34125,246.32825
44,sports ball,1,272.3936,136.5547,322.39365,186.55475
44,sports ball,1,238.72092,71.23883,288.720925,121.238835
45,sports ball,1,273.30215,136.4512,323.302155,186.45125
45,sports ball,1,237.85571,71.780075,287.855715,121.7800755
46,sports ball,1,459.41837,199.66122,509.418375,249.661225
47,sports ball,1,236.1253,72.862564,286.12535,122.8625645
47,sports ball,1,275.1193,136.2442,325.11935,186.24425
48,sports ball,1,276.02786,136.1407,326.027865,186.14075
48,sports ball,1,235.2601,73.40381,285.26015,123.403815
49,sports ball,1,456.49554,202.99425,506.495545,252.994255
49,sports ball,1,276.93643,136.0372,326.936435,186.03725
50,sports ball,1,233.5297,74.4863,283.52975,124.48635
50,sports ball,1,277.845,135.9337,327.8455,185.93375
51,sports ball,1,232.66449,75.02754,282.664495,125.027545
51,sports ball,1,454.547,205.21626,504.5475,255.216265
51,sports ball,1,278.75357,135.8302,328.753575,185.83025
52,sports ball,1,231.79929,75.56879,281.799295,125.568795
52,sports ball,1,279.66214,135.7267,329.662145,185.72675
52,sports ball,1,453.57272,206.32727,503.572725,256.327275
53,sports ball,1,230.93408,76.11003,280.934085,126.110035
55,sports ball,1,450.6499,209.6603,500.64995,259.66035
55,sports ball,1,282.38785,135.4162,332.387855,185.41625
55,sports ball,1,229.20367,77.19252,279.203675,127.192525
56,sports ball,1,228.33847,77.733765,278.338475,127.7337655
56,sports ball,1,283.29642,135.3127,333.296425,185.31275
57,sports ball,1,448.70135,211.88231,498.701355,261.882315
57,sports ball,1,227.47327,78.27501,277.473275,128.275015
57,sports ball,1,284.205,135.2092,334.2055,185.20925
58,sports ball,1,226.60806,78.81625,276.608065,128.816255
58,sports ball,1,285.11356,135.1057,335.113565,185.10575
59,sports ball,1,446.7528,214.10432,496.75285,264.104325
60,sports ball,1,286.9307,134.8987,336.93075,184.89875
60,sports ball,1,224.87766,79.89874,274.877665,129.898745
61,sports ball,1,224.01245,80.43999,274.012455,130.439995
62,sports ball,1,288.74783,134.6917,338.747835,184.69175
63,sports ball,1,289.6564,134.5882,339.65645,184.58825
63,sports ball,1,222.28204,81.52248,272.282045,131.522485
64,sports ball,1,290.56497,134.4847,340.564975,184.48475
65,sports ball,1,220.55164,82.604965,270.551645,132.6049655
66,sports ball,1,439.9329,221.88138,489.93295,271.881385
66,sports ball,1,292.3821,134.2777,342.38215,184.27775
67,sports ball,1,438.95862,222.99239,488.958625,272.992395
67,sports ball,1,218.82123,83.687454,268.821235,133.6874545
68,sports ball,1,217.95602,84.2287,267.956025,134.22875
70,sports ball,1,436.0358,226.32541,486.03585,276.325415
70,sports ball,1,296.0164,133.8637,346.01645,183.86375
71,sports ball,1,296.92496,133.7602,346.924965,183.76025
