frame,id,score,x,y,x2,y2
1,sports ball,1,54.59095,297.34372,104.59095,347.34372
2,sports ball,1,59.1819,294.68744,109.1819,344.68744
3,sports ball,1,63.77285,292.03116,113.77285,342.03116
4,sports ball,1,68.3638,289.37488,118.3638,339.37488
5,sports ball,1,72.95475,286.7186,122.95475,336.7186
6,sports ball,1,77.5457,284.06232,127.5457,334.06232
7,sports ball,1,82.13665,281.40604,132.13666,331.40604
8,sports ball,1,86.7276,278.74976,136.7276,328.74976
9,sports ball,1,91.31855,276.09348,141.31854,326.09348
10,sports ball,1,95.9095,273.4372,145.9095,323.4372
11,sports ball,1,100.50045,270.7809,150.50046,320.7809
12,sports ball,1,105.0914,268.12463,155.0914,318.12463
13,sports ball,1,109.68235,265.46835,159.68234,315.46835
14,sports ball,1,114.2733,262.81207,164.2733,312.81207
15,sports ball,1,118.86425,260.1558,168.86426,310.1558
16,sports ball,1,123.4552,257.4995,173.4552,307.4995
17,sports ball,1,128.04616,254.84325,178.04616,304.84326
18,sports ball,1,132.63712,252.18698,182.63712,302.18698
19,sports ball,1,137.22807,249.53072,187.22807,299.5307
20,sports ball,1,141.81903,246.87445,191.81903,296.87445
21,sports ball,1,146.40999,244.21819,196.40999,294.2182
22,sports ball,1,151.00095,241.56192,201.00095,291.56192
23,sports ball,1,155.5919,238.90565,205.5919,288.90564
24,sports ball,1,160.18286,236.24939,210.18286,286.2494
25,sports ball,1,164.77382,233.59312,214.77382,283.59314
25,sports ball,1,196.29126,224.8787,246.29126,274.8787
26,sports ball,1,169.36478,230.93686,219.36478,280.93686
26,sports ball,1,202.14291,221.87384,252.14291,271.87384
27,sports ball,1,173.95573,228.2806,223.95573,278.28058
27,sports ball,1,207.99457,218.86899,257.99457,268.869
28,sports ball,1,178.54669,225.62433,228.54669,275.62433
28,sports ball,1,213.84622,215.86414,263.84622,265.86414
29,sports ball,1,183.13765,222.96806,233.13765,272.96808
29,sports ball,1,219.69788,212.85928,269.69788,262.85928
30,sports ball,1,187.7286,220.3118,237.7286,270.3118
30,sports ball,1,225.54953,209.85443,275.54953,259.85443
31,sports ball,1,192.31956,217.65553,242.31956,267.65552
31,sports ball,1,231.40118,206.84958,281.40118,256.84958
32,sports ball,1,196.91052,214.99927,246.91052,264.99927
32,sports ball,1,237.25284,203.84473,287.25284,253.84473
33,sports ball,1,201.50148,212.343,251.50148,262.34302
33,sports ball,1,243.10449,200.83987,293.1045,250.83987
34,sports ball,1,206.09244,209.68674,256.09244,259.68674
34,sports ball,1,248.95615,197.83502,298.95615,247.83502
35,sports ball,1,210.6834,207.03047,260.6834,257.03046
35,sports ball,1,254.8078,194.83017,304.8078,244.83017
36,sports ball,1,215.27435,204.3742,265.27435,254.3742
36,sports ball,1,260.65945,191.82532,310.65945,241.82532
37,sports ball,1,219.86531,201.71794,269.8653,251.71794
37,sports ball,1,266.5111,188.82047,316.5111,238.82047
38,sports ball,1,224.45627,199.06168,274.45627,249.06168
38,sports ball,1,272.36276,185.81561,322.36276,235.81561
39,sports ball,1,229.04723,196.40541,279.04724,246.40541
39,sports ball,1,278.21442,182.81076,328.21442,232.81076
40,sports ball,1,233.63818,193.74915,283.63818,243.74915
40,sports ball,1,284.06607,179.80591,334.06607,229.80591
41,sports ball,1,238.22914,191.09288,288.22913,241.09288
41,sports ball,1,289.91772,176.80106,339.91772,226.80106
42,sports ball,1,242.8201,188.43661,292.8201,238.43661
42,sports ball,1,295.76938,173.7962,345.76938,223.7962
43,sports ball,1,247.41106,185.78035,297.41107,235.78035
43,sports ball,1,301.62103,170.79135,351.62103,220.79135
44,sports ball,1,252.00201,183.12408,302.002,233.12408
44,sports ball,1,307.4727,167.7865,357.4727,217.7865
45,sports ball,1,256.59296,180.46782,306.59296,230.46782
45,sports ball,1,313.32434,164.78165,363.32434,214.78165
46,sports ball,1,261.1839,177.81155,311.1839,227.81155
46,sports ball,1,319.176,161.7768,369.176,211.7768
47,sports ball,1,265.77484,175.15529,315.77484,225.15529
47,sports ball,1,325.02765,158.77194,375.02765,208.77194
47,sports ball,1,258.96713,146.987,308.96713,196.987
48,sports ball,1,270.36578,172.49902,320.36578,222.49902
48,sports ball,1,330.8793,155.76709,380.8793,205.76709
48,sports ball,1,263.41324,143.7314,313.41324,193.7314
49,sports ball,1,274.95673,169.84276,324.95673,219.84276
49,sports ball,1,336.73096,152.76224,386.73096,202.76224
49,sports ball,1,267.85934,140.4758,317.85934,190.4758
50,sports ball,1,279.54767,167.1865,329.54767,217.1865
50,sports ball,1,342.5826,149.75739,392.5826,199.75739
50,sports ball,1,272.30545,137.2202,322.30545,187.2202
51,sports ball,1,284.1386,164.53023,334.1386,214.53023
51,sports ball,1,348.43427,146.75253,398.43427,196.75253
51,sports ball,1,276.75156,133.9646,326.75156,183.9646
52,sports ball,1,288.72955,161.87396,338.72955,211.87396
52,sports ball,1,354.28592,143.74768,404.28592,193.74768
52,sports ball,1,281.19766,130.709,331.19766,180.709
53,sports ball,1,293.3205,159.2177,343.3205,209.2177
53,sports ball,1,360.13757,140.74283,410.13757,190.74283
53,sports ball,1,285.64377,127.4534,335.64377,177.4534
54,sports ball,1,297.91144,156.56143,347.91144,206.56143
54,sports ball,1,365.98923,137.73798,415.98923,187.73798
54,sports ball,1,290.08987,124.1978,340.08987,174.1978
55,sports ball,1,302.50238,153.90517,352.50238,203.90517
55,sports ball,1,371.84088,134.73312,421.84088,184.73312
55,sports ball,1,294.53598,120.9422,344.53598,170.9422
56,sports ball,1,307.09332,151.2489,357.09332,201.2489
56,sports ball,1,377.69254,131.72827,427.69254,181.72827
56,sports ball,1,298.9821,117.6866,348.9821,167.6866
57,sports ball,1,311.68427,148.59264,361.68427,198.59264
57,sports ball,1,383.5442,128.72342,433.5442,178.72342
57,sports ball,1,303.4282,114.431,353.4282,164.431
58,sports ball,1,316.2752,145.93637,366.2752,195.93637
58,sports ball,1,389.39584,125.71856,439.39584,175.71857
58,sports ball,1,307.8743,111.1754,357.8743,161.1754
59,sports ball,1,320.86615,143.2801,370.86615,193.2801
59,sports ball,1,395.2475,122.7137,445.2475,172.7137
59,sports ball,1,312.3204,107.9198,362.3204,157.9198
60,sports ball,1,325.4571,140.62384,375.4571,190.62384
60,sports ball,1,401.09915,119.70884,451.09915,169.70883
60,sports ball,1,316.7665,104.6642,366.7665,154.6642
61,sports ball,1,330.04803,137.96758,380.04803,187.96758
61,sports ball,1,406.9508,116.70398,456.9508,166.70398
61,sports ball,1,321.21262,101.4086,371.21262,151.4086
62,sports ball,1,334.63898,135.31131,384.63898,185.31131
62,sports ball,1,412.80246,113.69912,462.80246,163.69913
62,sports ball,1,325.65872,98.153,375.65872,148.153
63,sports ball,1,339.22992,132.65504,389.22992,182.65504
63,sports ball,1,418.6541,110.69426,468.6541,160.69426
63,sports ball,1,330.10483,94.8974,380.10483,144.8974
64,sports ball,1,343.82086,129.99878,393.82086,179.99878
64,sports ball,1,424.50577,107.6894,474.50577,157.68939
64,sports ball,1,334.55093,91.6418,384.55093,141.6418
65,sports ball,1,348.4118,127.342514,398.4118,177.34251
65,sports ball,1,430.35742,104.68454,480.35742,154.68454
65,sports ball,1,338.99704,88.3862,388.99704,138.3862
66,sports ball,1,353.00275,124.68625,403.00275,174.68625
66,sports ball,1,436.20908,101.67968,486.20908,151.67969
66,sports ball,1,343.44315,85.1306,393.44315,135.1306
67,sports ball,1,357.5937,122.02998,407.5937,172.02998
67,sports ball,1,442.06073,98.67482,492.06073,148.67482
67,sports ball,1,347.88925,81.875,397.88925,131.875
68,sports ball,1,362.18463,119.37372,412.18463,169.37372
68,sports ball,1,447.91238,95.66996,497.91238,145.66995
68,sports ball,1,352.33536,78.6194,402.33536,128.6194
69,sports ball,1,366.77557,116.71745,416.77557,166.71745
69,sports ball,1,453.76404,92.6651,503.76404,142.6651
69,sports ball,1,356.78146,75.3638,406.78146,125.3638
70,sports ball,1,371.36652,114.06119,421.36652,164.06119
70,sports ball,1,459.6157,89.66024,509.6157,139.66025
70,sports ball,1,361.22757,72.1082,411.22757,122.1082
71,sports ball,1,375.95746,111.40492,425.95746,161.40492
71,sports ball,1,465.46735,86.65538,515.46735,136.65538
71,sports ball,1,365.67368,68.8526,415.67368,118.8526
72,sports ball,1,380.5484,108.74866,430.5484,158.74866
72,sports ball,1,471.319,83.65052,521.319,133.65051
72,sports ball,1,370.11978,65.597,420.11978,115.597
73,sports ball,1,385.13934,106.09239,435.13934,156.09239
73,sports ball,1,477.17065,80.64566,527.17065,130.64566
73,sports ball,1,374.5659,62.341404,424.5659,112.3414
74,sports ball,1,389.7303,103.43613,439.7303,153.43613
74,sports ball,1,483.0223,77.6408,533.02234,127.6408
74,sports ball,1,379.012,59.085808,429.012,109.08581
75,sports ball,1,394.32123,100.77986,444.32123,150.77986
75,sports ball,1,488.87396,74.63594,538.87396,124.63594
75,sports ball,1,383.4581,55.83021,433.4581,105.830215
76,sports ball,1,398.91217,98.1236,448.91217,148.1236
76,sports ball,1,494.72562,71.63108,544.7256,121.63108
76,sports ball,1,387.9042,52.574615,437.9042,102.574615
77,sports ball,1,403.5031,95.46733,453.5031,145.46733
77,sports ball,1,500.57727,68.62622,550.5773,118.62622
77,sports ball,1,392.3503,49.31902,442.3503,99.319016
78,sports ball,1,408.09406,92.811066,458.09406,142.81107
78,sports ball,1,506.42892,65.62136,556.42896,115.62136
78,sports ball,1,396.79642,46.063423,446.79642,96.06342
79,sports ball,1,412.685,90.1548,462.685,140.1548
79,sports ball,1,512.2806,62.6165,562.2806,112.6165
79,sports ball,1,401.24252,42.807827,451.24252,92.80783
80,sports ball,1,417.27594,87.498535,467.27594,137.49854
80,sports ball,1,518.1322,59.61164,568.1322,109.61164
80,sports ball,1,405.68863,39.55223,455.68863,89.55223
81,sports ball,1,421.86688,84.84227,471.86688,134.84227
81,sports ball,1,523.9838,56.60678,573.9838,106.60678
81,sports ball,1,410.13474,36.296635,460.13474,86.29663
82,sports ball,1,426.45782,82.186005,476.45782,132.186
82,sports ball,1,529.83545,53.60192,579.83545,103.60192
82,sports ball,1,414.58084,33.04104,464.58084,83.04104
83,sports ball,1,431.04877,79.52974,481.04877,129.52974
83,sports ball,1,535.6871,50.59706,585.6871,100.59706
83,sports ball,1,419.02695,29.78544,469.02695,79.78544
84,sports ball,1,435.6397,76.873474,485.6397,126.873474
84,sports ball,1,541.5387,47.5922,591.5387,97.5922
84,sports ball,1,423.47305,26.529842,473.47305,76.52985
