frame,id,score,x,y,x2,y2
1,sports ball,1,54.59095,297.34372,104.59095,347.34372
1,sports ball,1,55.85165,296.99515,105.851654,346.99515
1,sports ball,1,54.446114,296.74442,104.44611,346.74442
2,sports ball,1,59.1819,294.68744,109.1819,344.68744
2,sports ball,1,61.7033,293.9903,111.7033,343.9903
2,sports ball,1,58.892227,293.48883,108.89223,343.48883
3,sports ball,1,63.77285,292.03116,113.77285,342.03116
3,sports ball,1,67.55495,290.98544,117.55495,340.98544
3,sports ball,1,63.33834,290.23325,113.33834,340.23325
4,sports ball,1,68.3638,289.37488,118.3638,339.37488
4,sports ball,1,73.40659,287.9806,123.40659,337.9806
4,sports ball,1,67.784454,286.97766,117.784454,336.97766
5,sports ball,1,72.95475,286.7186,122.95475,336.7186
5,sports ball,1,79.25824,284.97574,129.25824,334.97574
5,sports ball,1,72.23057,283.72208,122.23057,333.72208
6,sports ball,1,77.5457,284.06232,127.5457,334.06232
6,sports ball,1,85.109886,281.9709,135.1099,331.9709
6,sports ball,1,76.67668,280.4665,126.67668,330.4665
7,sports ball,1,82.13665,281.40604,132.13666,331.40604
7,sports ball,1,90.96153,278.96603,140.96153,328.96603
7,sports ball,1,81.122795,277.2109,131.1228,327.2109
8,sports ball,1,86.7276,278.74976,136.7276,328.74976
8,sports ball,1,96.81318,275.96118,146.81317,325.96118
8,sports ball,1,85.56891,273.95532,135.56891,323.95532
9,sports ball,1,91.31855,276.09348,141.31854,326.09348
9,sports ball,1,102.664825,272.95633,152.66483,322.95633
9,sports ball,1,90.01502,270.69974,140.01501,320.69974
10,sports ball,1,95.9095,273.4372,145.9095,323.4372
10,sports ball,1,108.51647,269.95148,158.51648,319.95148
10,sports ball,1,94.461136,267.44415,144.46114,317.44415
11,sports ball,1,100.50045,270.7809,150.50046,320.7809
11,sports ball,1,114.36812,266.94662,164.36812,316.94662
11,sports ball,1,98.90725,264.18857,148.90726,314.18857
12,sports ball,1,105.0914,268.12463,155.0914,318.12463
12,sports ball,1,120.219765,263.94177,170.21976,313.94177
12,sports ball,1,103.35336,260.93298,153.35336,310.93298
13,sports ball,1,109.68235,265.46835,159.68234,315.46835
13,sports ball,1,126.07141,260.93692,176.07141,310.93692
13,sports ball,1,107.79948,257.6774,157.79947,307.6774
14,sports ball,1,114.2733,262.81207,164.2733,312.81207
14,sports ball,1,131.92307,257.93207,181.92307,307.93207
14,sports ball,1,112.24559,254.4218,162.24559,304.4218
15,sports ball,1,118.86425,260.1558,168.86426,310.1558
15,sports ball,1,137.77472,254.92722,187.77472,304.92722
15,sports ball,1,116.6917,251.1662,166.69171,301.1662
16,sports ball,1,123.4552,257.4995,173.4552,307.4995
16,sports ball,1,143.62637,251.92236,193.62637,301.92236
16,sports ball,1,121.13782,247.9106,171.13782,297.91058
17,sports ball,1,128.04616,254.84325,178.04616,304.84326
17,sports ball,1,149.47803,248.91751,199.47803,298.9175
17,sports ball,1,125.58393,244.655,175.58392,294.655
18,sports ball,1,132.63712,252.18698,182.63712,302.18698
18,sports ball,1,155.32968,245.91266,205.32968,295.91266
18,sports ball,1,130.03004,241.3994,180.03004,291.3994
19,sports ball,1,137.22807,249.53072,187.22807,299.5307
19,sports ball,1,161.18134,242.9078,211.18134,292.9078
19,sports ball,1,134.47615,238.1438,184.47615,288.1438
20,sports ball,1,141.81903,246.87445,191.81903,296.87445
20,sports ball,1,167.03299,239.90295,217.03299,289.90295
20,sports ball,1,138.92226,234.8882,188.92226,284.88818
