frame,id,score,x,y,x2,y2
0,sports ball,0.7680111,69,69,118,118
1,sports ball,0.8464032,67,69,118,120
5,kite,0.7607164,61,63,120,130
6,kite,0.94610256,59,60,121,133
7,kite,0.7077768,58,61,122,135
8,kite,0.81690574,56,60,120,136
9,kite,0.85902125,56,59,122,136
10,kite,0.81331444,55,56,122,138
22,sports ball,0.7897635,37,119,84,166
23,sports ball,0.9424337,36,120,83,168
24,sports ball,0.97036797,35,122,82,170
25,sports ball,0.9496112,31,123,81,173
29,sports ball,0.9435975,27,133,75,181
30,sports ball,0.95101374,26,135,73,183
31,sports ball,0.91012466,26,138,73,185
32,sports ball,0.92481506,28,140,74,187
33,sports ball,0.98947,28,143,75,190
35,sports ball,0.7810004,29,146,80,195
36,sports ball,0.882748,31,148,80,197
37,sports ball,0.90475255,31,150,80,199
38,sports ball,0.98185086,35,153,81,200
39,sports ball,0.94759035,36,155,83,203
40,sports ball,0.8727409,36,158,84,206
41,sports ball,0.8130399,39,160,85,208
42,sports ball,0.8490721,39,161,88,209
43,sports ball,0.91988915,40,163,89,211
43,sports ball,0.9129653,83,62,131,110
44,sports ball,0.94063157,83,62,131,110
44,sports ball,0.8673586,41,165,90,213
44,sports ball,0.8056594,53,25,100,72
45,sports ball,0.9629762,41,167,90,215
45,sports ball,0.87989956,84,62,131,110
46,sports ball,0.9520565,45,171,92,218
46,sports ball,0.9429414,84,62,131,110
46,sports ball,0.8867223,60,99,108,148
46,sports ball,0.78536,53,27,101,75
47,sports ball,0.98790747,46,173,92,220
47,sports ball,0.881854,60,100,108,149
47,sports ball,0.8610309,84,62,131,110
47,sports ball,0.74578816,51,27,100,76
48,sports ball,0.95573604,46,175,94,223
48,sports ball,0.86347735,60,100,109,149
48,sports ball,0.7124552,87,62,134,111
49,sports ball,0.88056,60,101,109,150
49,sports ball,0.7074948,85,62,133,110
50,sports ball,0.85507333,48,178,98,227
51,sports ball,0.9322828,50,181,99,228
51,sports ball,0.8779356,87,62,133,110
51,sports ball,0.7132258,58,101,108,151
52,sports ball,0.99386793,52,184,99,230
53,sports ball,0.98347455,53,185,100,233
54,sports ball,0.9321938,54,189,101,235
55,sports ball,0.942894,56,191,103,236
56,sports ball,0.9722741,58,193,104,239
57,sports ball,0.85113573,58,195,106,240
59,sports ball,0.95677805,61,199,110,247
60,sports ball,0.9796714,61,201,110,247
60,sports ball,0.87050587,58,110,104,158
61,sports ball,0.99569905,61,203,110,250
61,sports ball,0.98552376,58,111,104,158
62,sports ball,0.9917645,58,112,104,159
62,sports ball,0.97343314,66,205,113,253
63,sports ball,0.9896897,58,112,104,159
63,sports ball,0.93989646,66,207,113,255
64,sports ball,0.98196673,58,113,104,160
64,sports ball,0.7795495,67,210,115,256
65,sports ball,0.9616099,56,113,103,161
65,sports ball,0.8017706,68,211,117,259
66,sports ball,0.94913673,56,113,103,161
66,sports ball,0.9207566,70,215,118,262
67,sports ball,0.82925,69,215,118,263
67,sports ball,0.76708555,56,114,103,162
68,sports ball,0.8663071,56,115,103,163
68,sports ball,0.86356175,71,218,121,266
69,sports ball,0.84152246,56,115,103,163
69,sports ball,0.7141137,74,220,122,268
70,sports ball,0.9910642,76,222,123,269
70,sports ball,0.8830244,54,116,103,164
71,sports ball,0.9828855,77,225,124,272
71,sports ball,0.7922618,55,117,103,165
72,sports ball,0.8132923,55,117,103,165
74,sports ball,0.74666595,80,232,128,280
75,sports ball,0.94413114,81,234,130,280
76,sports ball,0.9532289,81,235,130,282
76,sports ball,0.8775916,53,121,101,170
77,sports ball,0.9556798,83,237,130,284
77,sports ball,0.93972886,54,122,101,168
78,sports ball,0.93462545,54,122,101,168
78,sports ball,0.9234867,86,240,133,286
79,sports ball,0.9801774,53,122,100,170
79,sports ball,0.9749429,88,243,134,289
80,sports ball,0.984452,52,123,100,171
80,sports ball,0.8289636,88,244,135,292
81,sports ball,0.9832032,52,123,100,171
82,sports ball,0.96409655,52,124,100,173
82,sports ball,0.8442818,90,249,138,296
83,sports ball,0.94243944,51,125,101,173
83,sports ball,0.8941711,91,250,141,298
84,sports ball,0.95312744,92,253,141,300
84,sports ball,0.813053,50,125,100,173
85,sports ball,0.88026077,94,255,141,303
85,sports ball,0.8350791,50,126,100,174
86,sports ball,0.82845557,96,256,142,305
86,sports ball,0.7841166,50,127,100,176
87,clock,0.7405125,41,66,89,114
87,sports ball,0.72151065,50,128,100,176
88,sports ball,0.83700293,98,261,148,309
89,sports ball,0.92389894,100,263,149,310
90,sports ball,0.90097314,101,265,150,313
91,sports ball,0.90456957,101,267,151,316
92,sports ball,0.7714516,50,131,99,180
92,sports ball,0.7024564,100,270,149,318
93,sports ball,0.9736795,106,273,153,320
94,sports ball,0.95531017,107,275,154,323
95,sports ball,0.92612255,38,73,86,120
95,sports ball,0.8157428,108,276,155,323
96,sports ball,0.7925851,37,75,86,123
97,sports ball,0.8603344,100,55,148,103
97,sports ball,0.75208706,110,280,160,329
98,sports ball,0.87672156,100,55,148,103
98,sports ball,0.85448587,113,283,160,329
99,sports ball,0.97255015,112,286,159,332
99,sports ball,0.884521,100,55,148,103
100,sports ball,0.9629372,113,287,160,335
100,sports ball,0.87853557,100,55,148,103
