frame,id,score,x,y,dx,dy
0,sports ball,0.9588065,280,341,330,390
0,sports ball,0.77205145,338,380,360,426
1,sports ball,0.96874624,280,343,329,390
2,sports ball,0.9164298,281,343,330,390
3,sports ball,0.93506414,281,344,330,391
4,sports ball,0.95065236,282,344,331,391
5,sports ball,0.94099647,282,344,331,391
6,sports ball,0.91442496,281,345,331,393
7,sports ball,0.9567627,283,345,332,393
8,sports ball,0.9567627,283,345,332,393
9,sports ball,0.9668561,283,345,333,393
10,sports ball,0.97777426,283,345,333,393
11,sports ball,0.97508574,282,346,332,394
11,sports ball,0.7075544,325,375,360,423
12,sports ball,0.9752694,282,346,333,394
13,sports ball,0.97454983,282,346,333,394
14,sports ball,0.97147477,283,347,333,395
14,sports ball,0.7784537,322,376,360,425
15,sports ball,0.97075325,285,348,334,396
15,sports ball,0.8041018,321,376,360,423
16,sports ball,0.9625792,287,348,335,396
16,sports ball,0.85264605,321,376,360,423
17,sports ball,0.8883995,288,349,335,396
17,sports ball,0.75095916,320,376,360,423
18,sports ball,0.87055916,288,349,336,397
19,sports ball,0.8665057,288,349,336,397
20,sports ball,0.7932698,288,350,336,397
23,kite,0.87115896,291,352,360,423
24,kite,0.87115896,291,352,360,423
25,kite,0.84430796,291,354,360,423
27,kite,0.7769126,291,353,360,421
28,kite,0.88824546,291,354,360,423
29,kite,0.80693585,290,353,360,421
39,sports ball,0.72619975,296,358,349,419
47,kite,0.7421351,295,361,348,418
48,kite,0.7421351,295,361,348,418
53,kite,0.7901556,288,363,350,416
55,kite,0.9007363,285,364,350,416
57,kite,0.9551356,284,365,351,416
58,kite,0.99328095,284,365,351,415
59,kite,0.9983432,283,365,351,415
60,kite,0.9977549,283,366,352,415
61,kite,0.99771106,282,366,352,415
62,kite,0.9971112,280,365,353,415
63,kite,0.9938095,280,366,353,416
64,kite,0.98858356,280,365,355,415
65,kite,0.9850042,278,366,353,415
66,kite,0.97844404,277,366,353,415
67,kite,0.98457944,276,365,354,415
68,kite,0.950436,276,366,354,416
69,kite,0.8020911,295,366,355,415
70,kite,0.84887403,274,366,351,414
71,kite,0.7484637,306,368,358,416
72,kite,0.7484637,306,368,358,416
76,sports ball,0.83708483,270,365,316,413
77,sports ball,0.8901967,268,365,315,413
78,sports ball,0.92543375,269,365,315,412
79,sports ball,0.95976686,268,365,314,412
80,sports ball,0.9572518,266,363,314,411
81,sports ball,0.9672986,266,363,313,411
81,sports ball,0.7091715,313,371,360,420
82,sports ball,0.9857167,263,363,311,411
82,sports ball,0.8686369,313,372,360,421
83,sports ball,0.97535974,261,363,311,411
83,sports ball,0.7883793,314,372,360,421
84,sports ball,0.908537,263,363,312,411
84,sports ball,0.8442295,314,373,360,421
85,sports ball,0.84987086,262,363,311,411
85,sports ball,0.718148,315,373,360,421
86,sports ball,0.78727084,261,363,310,410
86,sports ball,0.71881884,315,373,360,421
87,sports ball,0.87942547,260,363,309,410
87,sports ball,0.7530583,315,374,360,422
88,sports ball,0.87942547,260,363,309,410
88,sports ball,0.7530583,315,374,360,422
89,sports ball,0.95365673,260,363,308,410
89,sports ball,0.78974634,315,374,360,422
90,sports ball,0.98948216,258,364,306,410
91,sports ball,0.9744488,257,362,303,409
92,sports ball,0.9585784,254,361,302,410
93,sports ball,0.97031015,253,361,301,410
94,sports ball,0.9708384,251,362,301,410
95,sports ball,0.9713903,251,362,301,410
96,sports ball,0.9461588,253,362,302,410
97,sports ball,0.85297143,251,361,301,410
98,sports ball,0.78637165,250,361,300,410
99,sports ball,0.7467297,250,361,297,408
100,sports ball,0.91378427,249,361,295,408
101,sports ball,0.9403994,248,361,294,408
101,sports ball,0.80883825,320,379,360,428
102,sports ball,0.9359833,248,360,294,407
102,sports ball,0.87093794,322,380,360,427
103,sports ball,0.93713087,248,360,294,407
103,sports ball,0.8045004,322,381,360,428
104,sports ball,0.9084806,243,359,291,407
105,sports ball,0.8948928,244,360,291,406
106,sports ball,0.92505944,242,360,290,408
107,sports ball,0.9463532,242,360,291,408
108,sports ball,0.87866503,241,359,289,406
109,sports ball,0.81754875,239,359,286,406
110,sports ball,0.76453704,239,358,286,407
111,sports ball,0.7584765,239,358,286,407
112,sports ball,0.756178,238,359,285,407
113,sports ball,0.83861494,237,357,283,405
114,person,0.9322126,328,386,360,431
114,sports ball,0.9231174,236,357,282,405
115,sports ball,0.9595131,235,358,281,405
115,person,0.9186897,328,386,360,431
116,sports ball,0.91972816,234,358,283,406
116,person,0.87681603,328,386,360,432
117,sports ball,0.8835212,231,358,280,405
117,person,0.70236707,329,386,359,433
118,sports ball,0.8202093,231,358,280,405
119,sports ball,0.70183593,231,356,281,405
