frame,id,score,x,y,dx,dy
0,sports ball,0.84497195,68,71,120,118
1,sports ball,0.7987015,68,71,121,119
2,sports ball,0.9390186,69,73,123,123
4,kite,0.76895016,67,75,128,125
5,kite,0.91688514,68,75,131,126
6,kite,0.8595602,67,76,134,128
8,kite,0.97441316,67,79,138,131
9,kite,0.7207374,66,81,141,134
10,kite,0.96925664,67,80,140,135
11,kite,0.985134,66,81,143,135
12,kite,0.97873574,68,81,144,139
13,kite,0.97059804,68,81,148,140
14,kite,0.9815098,68,83,151,142
15,kite,0.9875267,67,83,150,145
16,kite,0.8977051,65,85,156,143
19,sports ball,0.8283179,113,88,162,136
20,sports ball,0.70027757,114,88,162,135
23,sports ball,0.8250705,67,111,116,160
24,sports ball,0.8984305,68,112,116,160
24,sports ball,0.7459972,123,92,171,139
25,sports ball,0.8974486,125,93,172,140
27,sports ball,0.7639649,68,118,116,166
28,sports ball,0.87967795,68,120,115,167
28,sports ball,0.86204076,130,95,179,143
29,sports ball,0.9758177,68,122,115,169
29,sports ball,0.83396536,134,97,183,145
30,sports ball,0.9730569,68,124,115,172
30,sports ball,0.7089414,136,96,185,145
31,sports ball,0.8270164,68,126,115,174
32,sports ball,0.8836773,141,99,190,147
32,sports ball,0.7862866,68,126,116,175
33,sports ball,0.88546944,67,130,114,176
33,sports ball,0.80386525,143,100,192,148
34,sports ball,0.986118,146,101,193,148
34,sports ball,0.97279805,68,132,113,178
35,sports ball,0.977042,68,134,113,180
35,sports ball,0.9725944,148,101,196,149
36,sports ball,0.96782863,67,135,114,181
36,sports ball,0.90199834,150,103,198,151
37,sports ball,0.96449316,151,105,200,151
37,sports ball,0.88305086,67,135,115,183
38,sports ball,0.9766342,152,105,200,152
38,sports ball,0.87216765,67,138,113,185
39,sports ball,0.9370376,157,106,205,154
39,sports ball,0.9200223,68,141,113,187
40,sports ball,0.9864136,68,141,115,188
41,sports ball,0.98975337,67,143,114,191
41,sports ball,0.7814465,160,109,210,153
42,sports ball,0.92559355,67,145,114,193
42,sports ball,0.90445983,160,108,209,155
43,sports ball,0.89432436,66,146,114,195
43,sports ball,0.8403487,163,108,210,156
44,sports ball,0.899606,168,111,213,158
44,sports ball,0.8992577,66,148,113,196
45,sports ball,0.7876703,170,111,217,158
45,sports ball,0.7507902,66,151,113,197
46,sports ball,0.96725756,66,153,113,199
46,sports ball,0.9313279,170,111,218,159
47,sports ball,0.9866876,174,114,221,160
47,sports ball,0.966509,65,153,111,201
48,sports ball,0.9774534,176,115,224,162
48,sports ball,0.92617464,65,154,111,202
49,sports ball,0.91575134,66,157,113,204
49,sports ball,0.79734564,178,115,226,163
50,sports ball,0.8935197,66,159,113,206
51,sports ball,0.99042237,66,161,113,208
51,sports ball,0.7319414,181,116,230,163
52,sports ball,0.98930734,66,162,113,209
52,sports ball,0.9507652,185,116,231,164
53,sports ball,0.98184747,66,164,113,211
53,sports ball,0.9285787,188,118,235,165
54,sports ball,0.9625836,66,166,113,214
54,sports ball,0.7617779,190,119,236,166
55,sports ball,0.8973554,66,168,113,215
55,sports ball,0.7696579,191,120,240,168
56,sports ball,0.95132965,191,120,240,168
56,sports ball,0.75049824,62,168,110,216
57,sports ball,0.9813473,195,122,243,169
57,sports ball,0.89679176,63,171,110,218
58,sports ball,0.98874474,198,123,245,171
58,sports ball,0.97150403,63,173,110,220
59,sports ball,0.8843958,65,175,112,221
59,sports ball,0.80507076,200,124,248,171
60,sports ball,0.89733464,64,175,111,223
60,sports ball,0.8845707,201,125,250,172
61,sports ball,0.98411894,202,125,250,171
61,sports ball,0.8015097,65,178,111,224
62,sports ball,0.9592607,207,126,254,174
62,sports ball,0.85763335,64,180,112,228
63,sports ball,0.98673403,63,181,110,229
63,sports ball,0.77955407,208,126,256,175
64,sports ball,0.98075783,65,183,112,230
64,sports ball,0.75966907,210,128,258,175
65,sports ball,0.94560546,64,185,111,232
65,sports ball,0.9024886,211,129,260,176
66,sports ball,0.95354456,64,187,111,235
66,sports ball,0.82814157,214,130,263,178
67,sports ball,0.97855455,218,131,266,178
67,sports ball,0.7298901,60,188,110,236
68,sports ball,0.77173305,219,133,267,178
69,sports ball,0.9375912,63,193,111,239
69,sports ball,0.8001084,221,134,270,180
70,sports ball,0.9751027,223,135,271,181
70,sports ball,0.95979166,61,194,110,240
71,sports ball,0.9444002,61,196,110,243
71,sports ball,0.9249777,225,135,272,182
72,sports ball,0.9285676,61,196,110,243
72,sports ball,0.8705723,228,135,276,183
73,sports ball,0.80689436,63,199,110,245
74,sports ball,0.95119977,63,201,111,249
74,sports ball,0.7746641,231,137,280,185
75,sports ball,0.99239326,61,203,110,250
75,sports ball,0.9001622,233,137,280,185
76,sports ball,0.9838266,61,203,110,250
76,sports ball,0.87270725,236,138,282,186
77,sports ball,0.97040886,61,206,110,253
77,sports ball,0.8123626,239,140,286,187
78,sports ball,0.9090103,63,208,111,256
78,sports ball,0.8754793,241,141,289,188
79,sports ball,0.9686628,242,142,291,190
79,sports ball,0.84530944,61,210,110,258
80,sports ball,0.9794717,246,143,293,190
80,sports ball,0.9057661,61,212,110,258
81,sports ball,0.9721647,248,144,295,192
81,sports ball,0.9605424,63,213,110,259
82,sports ball,0.94621044,62,215,110,262
82,sports ball,0.7780319,250,144,297,191
83,sports ball,0.8387827,61,217,110,265
83,sports ball,0.8271657,251,145,300,193
84,sports ball,0.9710326,251,145,300,193
84,sports ball,0.8758977,61,218,111,265
85,sports ball,0.94417447,257,147,304,195
85,sports ball,0.92722577,62,220,111,267
86,sports ball,0.9774515,62,222,111,269
86,sports ball,0.7815288,257,148,306,196
87,sports ball,0.99144673,62,225,110,271
88,sports ball,0.9838442,62,225,110,272
88,sports ball,0.73450375,261,150,311,198
89,sports ball,0.90829474,61,227,111,275
89,sports ball,0.8425333,263,151,312,199
90,sports ball,0.9654766,268,152,314,199
90,sports ball,0.8852675,60,230,110,277
91,sports ball,0.80702037,269,153,317,201
91,sports ball,0.76851606,61,232,110,278
92,sports ball,0.8614141,270,152,318,200
92,sports ball,0.8466749,61,233,109,280
93,sports ball,0.98048955,273,155,321,201
93,sports ball,0.9316094,61,235,110,281
94,sports ball,0.8638709,275,155,323,202
95,sports ball,0.85177886,60,238,108,285
95,sports ball,0.83525723,278,155,324,203
96,sports ball,0.9020503,61,240,110,288
